DATAFLOW,LAST UPDATE,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2010,124.96,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2011,123.16,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2012,127.43,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2013,128.11,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2014,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2015,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2016,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2017,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2018,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2019,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2020,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2021,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2010,479.53,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2011,484.22,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2012,489.54,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2013,498.85,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2014,504.61,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2015,509.12,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2016,512.96,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2017,518.28,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2018,524.14,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2019,531.81,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2020,534.65,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2021,545.25,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2010,291.34,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2011,291.55,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2012,293.36,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2013,295.71,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2014,297.55,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2015,301.75,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2016,307.41,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2017,308.29,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2018,312.96,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2019,316.33,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2020,321.28,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2021,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2010,376.83,b
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2011,385.41,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2012,387.43,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2013,395.24,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2014,397.75,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2015,404.04,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2016,410.66,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2017,418.40,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2018,421.71,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2019,423.60,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2020,427.69,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2021,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2010,380.72,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2011,383.28,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2012,391.57,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2013,404.00,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2014,412.58,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2015,419.71,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2016,425.06,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2017,429.78,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2018,433.86,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2019,434.97,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2020,438.96,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2021,445.51,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2010,289.23,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2011,297.22,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2012,301.64,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2013,319.51,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2014,337.83,bd
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2015,359.34,d
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2016,376.84,d
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2017,386.84,d
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2018,407.32,d
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2019,427.23,d
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2020,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2021,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2010,359.55,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2011,363.67,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2012,367.47,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2013,368.79,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2014,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2015,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2016,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2017,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2018,403.76,be
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2019,406.67,e
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2020,409.52,e
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2021,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2010,374.81,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2011,387.70,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2012,394.64,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2013,403.50,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2014,410.82,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2015,413.93,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2016,418.65,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2017,424.88,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2018,431.09,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2019,439.39,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2020,446.79,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Germany,2021,453.22,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2010,372.57,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2011,378.90,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2012,383.72,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2013,384.87,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2014,387.72,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2015,392.98,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2016,399.86,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2017,410.91,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2018,419.53,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2019,425.06,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2020,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2021,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2010,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2011,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2012,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2013,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2014,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2015,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2016,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2017,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2018,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2019,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2020,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Euro area - 19 countries  (2015-2022),2021,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2010,324.38,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2011,329.36,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2012,328.34,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2013,333.46,b
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2014,335.88,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2015,341.49,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2016,345.65,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2017,346.82,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2018,348.34,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2019,346.90,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2020,347.94,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2021,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2010,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2011,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2012,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2013,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2014,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2015,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2016,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2017,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2018,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2019,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2020,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Greece,2021,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2010,375.79,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2011,383.52,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2012,382.34,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2013,381.09,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2014,380.08,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2015,384.54,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2016,382.35,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2017,387.68,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2018,402.08,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2019,440.36,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2020,457.67,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2021,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,European Union - 27 countries (from 2020),2010,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,European Union - 27 countries (from 2020),2011,,
ESTAT:TPS00044(1.0),12/07/22 11:00:00,Annual,Per hundred thousand inhabitants,Practising,Medical doctors,European Union - 27 countries (from 2020),2012,,
